run_id,species,charge,density_log10,optimizer,weight,A,alpha,beta,V0,gamma,max_err_z1,max_err_z2,max_err_z3,passed_all
20260430_141526,He,1,13.0,slsqp,0.15,8.909380e-32,8000.0000,0.1051,6.6302,-2.0591,1.0556,1.1526,1.5995,False
20260430_141644,He,0,13.0,slsqp,0.15,3.447859e-32,8000.0000,0.0810,5.4300,-1.7374,1.2076,4.9381,110.9396,False
20260430_141927,Li,0,13.0,slsqp,0.10,7.764410e-31,8000.0000,0.0048,1.7120,-2.3227,1.3027,1.3027,1.3027,False
20260430_142304,Li,1,13.0,slsqp,0.15,4.714164e-32,8000.0000,0.0051,7.7393,-1.9512,1.1536,1.2766,1.2766,False
20260430_142419,Li,2,13.0,slsqp,0.15,6.509692e-32,8000.0000,0.1050,9.9655,-2.0278,1.0753,1.2763,2.2453,False
20260430_142521,H,0,13.0,slsqp,0.15,1.918735e-31,7999.9999,0.0552,3.7992,-2.2094,1.2546,3.8417,3.8417,False
20260430_143228,H,0,13.0,slsqp,0.15,2.048717e-31,8000.0000,0.0054,3.7993,-2.2586,1.2553,3.8243,3.8243,False
20260430_152137,He,0,13.0,slsqp,0.19,4.148289e-32,8000.0000,0.0064,5.5188,-1.8264,1.1846,6.4434,199.4965,False
20260430_152615,He,1,13.0,slsqp,0.19,9.582000e-32,8000.0000,0.0777,6.6589,-2.0917,1.0493,1.2253,1.7246,False
20260430_152819,Li,0,13.0,slsqp,0.19,8.214982e-31,8000.0000,0.0067,1.7626,-2.3355,1.2991,1.2991,1.2991,True
20260430_153201,Li,1,13.0,slsqp,0.19,4.986901e-32,8000.0000,0.0053,7.8319,-1.9648,1.1397,1.5075,1.7970,False
20260430_154006,He,0,13.0,fmincon,0.19,2.019990e-32,7999.8925,0.4291,5.5176,-1.4044,1.1848,6.4732,202.6975,False
20260430_160942,H,0,13.0,fmincon,0.15,7.030631e-32,8000.0089,0.8073,3.7979,-1.4569,1.2551,3.8401,3.8401,False
20260430_162619,He,1,13.0,fmincon,0.19,9.801152e-32,8000.2614,0.0663,6.6594,-2.1034,1.0496,1.2259,1.7266,False
20260501_143437,Li,1,13.0,fmincon,0.19,3.130338e-32,8000.0710,0.2330,7.8309,-1.7379,1.1391,1.5142,1.8141,False
20260430_161256,H,0,13.0,slsqp,0.15,1.855180e-31,8000.0000,0.0800,3.7988,-2.1841,1.2552,3.8363,3.8363,False
20260430_161919,H,0,13.0,ipopt,0.15,1.855632e-31,8000.0433,0.0800,3.7989,-2.1841,1.2551,3.8391,3.8391,False
20260430_165044,Li,0,13.0,slsqp,0.19,7.852876e-31,8000.0000,0.0860,1.7619,-2.2562,1.2991,1.2991,1.2991,True
20260501_141547,Li,0,13.0,slsqp,0.19,7.601668e-31,7999.9999,0.1432,1.7618,-2.1990,1.2989,1.2989,1.2989,True
20260501_143150,Li,1,13.0,slsqp,0.19,4.068649e-32,8000.0000,0.1056,7.8316,-1.8653,1.1391,1.5141,1.8058,False
20260501_143404,Li,2,13.0,slsqp,0.19,6.232547e-32,8000.0000,0.1510,10.0531,-1.9972,1.0640,1.4703,3.0827,False
